word_to_draw,prefix,suffix
gricker,Please draw a creature called a:,
bomburg,Please draw a creature called a:,
heonia,Please draw a creature called a:,
flissil,Please draw a creature called a:,
boodoma,Please draw a creature called a:,
axittic,Please draw a creature called a:,
horgous,Please draw a creature called a:,
ackie,Please draw a creature called a:,
ambous,Please draw a creature called a:,
cougzer,Please draw a creature called a:,
cruckwic,Please draw a creature called a:,
keex,Please draw a creature called a:,
cat,Please draw a:,
dog,Please draw a:,
